ID	Category	Question	Answer_Text
Q1_GroundTruth	Ground_Truth	What is the purpose of this document?	This document provides an overview of how security is designed into Google's technical infrastructure. It's intended for security executives, security architects, and auditors.
Q2_GroundTruth	Ground_Truth	What are the key aspects of Google's global technical infrastructure?	Google's global technical infrastructure is designed to provide security throughout the information processing lifecycle. It ensures secure deployment of services, secure data storage with privacy safeguards, secure communication between services, secure and private communication with customers over the internet, and safe operation for Google engineers.
Q3_GroundTruth	Ground_Truth	How does Google use its infrastructure to build internet services?	Google leverages its secure infrastructure to build both consumer services like Google Search, Gmail, and Google Photos, and enterprise services like Google Workspace and Google Cloud.
Q4_GroundTruth	Ground_Truth	What are some examples of security products and services that resulted from Google's internal security innovations?	BeyondCorp, a zero-trust security model, is a direct result of Google's internal implementation.
Q5_GroundTruth	Ground_Truth	What are the different layers in Google's infrastructure security design?	The infrastructure security is designed in progressive layers, including low-level infrastructure, service deployment, data storage, internet communication, and operations.
Q6_GroundTruth	Ground_Truth	How does Google secure the physical premises of its data centers?	Google designs and builds its own data centers with multiple layers of physical security, including tightly controlled access, biometric identification, metal detection, cameras, vehicle barriers, and laser-based intrusion detection systems.
Q7_GroundTruth	Ground_Truth	What security measures are taken inside the data center?	Inside the data center, Google implements additional controls to ensure that physical access to servers is protected and monitored.
Q8_GroundTruth	Ground_Truth	How does Google address security when hosting servers in third-party data centers?	Google aligns with the same regulatory standards in third-party data centers as in its own. They ensure Google-controlled physical security measures and connectivity on top of the data center operator's security layers.
Q9_GroundTruth	Ground_Truth	What are the key aspects of Google's hardware design and provenance?	Google designs its server boards and networking equipment, carefully vets component vendors, and audits the security properties of components. They also develop custom chips, including the Titan hardware security chip, for enhanced hardware-level security.
Q10_GroundTruth	Ground_Truth	What is the Titan hardware chip and where is it used?	The Titan chip is a hardware security chip used in Google servers, devices, and peripherals for hardware-level authentication and identification.
Q11_GroundTruth	Ground_Truth	How does Google secure the boot stack and machine identity of its servers?	Google uses various technologies to ensure the intended software stack boots on its servers, implementing industry-leading controls at each step to enforce expected boot states and protect customer data.
Q12_GroundTruth	Ground_Truth	What efforts does Google make to improve server security with each hardware generation?	Google strives to continually improve its servers with each generation and bring these improvements to the industry through engagement in standards processes with the Trusted Computing Group and DMTF.
Q13_GroundTruth	Ground_Truth	How does Google provide unique identities to its servers?	Each server in the data center has a unique identity tied to the hardware roots of trust and software it boots. This identity is used for authenticating API calls, mutual server authentication, and transport encryption.
Q14_GroundTruth	Ground_Truth	What is ALTS and how is it used?	ALTS (Application Layer Transport Security) is a system developed by Google for securing RPC communications within its infrastructure. It uses machine identities for authentication and encryption.
Q15_GroundTruth	Ground_Truth	How does Google manage server identities?	Server identities can be centrally revoked in response to security incidents. Certificates and keys are routinely rotated, and old ones revoked.
Q16_GroundTruth	Ground_Truth	What automated systems are used for server security management?	Google has automated systems to ensure servers run up-to-date software, detect and diagnose problems, ensure machine integrity with verified boot and attestation, restrict access to credentials, and remove or repair compromised machines.
Q17_GroundTruth	Ground_Truth	What is Borg and how does it relate to service deployment?	Borg is a cluster orchestration service that controls the services running directly on Google's infrastructure.
Q18_GroundTruth	Ground_Truth	What is a zero-trust security model and how does Google implement it?	A zero-trust security model assumes no trust by default, whether devices or users are inside or outside the network. Google implements this model by not assuming trust between services running on its infrastructure.
Q19_GroundTruth	Ground_Truth	How does Google handle data from different customers on its shared infrastructure?	Customer data is distributed across shared infrastructure, composed of tens of thousands of homogeneous machines, except in specific cases like using Google Cloud's sole-tenant nodes for Compute Engine.
Q20_GroundTruth	Ground_Truth	How do Google Cloud and Google Workspace address regulatory requirements around data residency?	Both services support regulatory requirements. Google Cloud provides specific features for implementing data residency and sovereignty, while Google Workspace allows choosing a geographic location for data storage.
Q21_GroundTruth	Ground_Truth	How does Google ensure service identity, integrity, and isolation?	Services use cryptographic authentication and authorization for inter-service communication, providing strong access control. Ingress and egress filtering help prevent IP spoofing. Each service has a service account identity with cryptographic credentials for authentication.
Q22_GroundTruth	Ground_Truth	What isolation techniques are employed to protect services from each other?	Google uses various isolation and sandboxing techniques like Linux user separation, language-based sandboxes, kernel-based sandboxes, gVisor, and hardware-based virtualization. More layers of isolation are used for riskier workloads.
Q23_GroundTruth	Ground_Truth	How are sensitive services handled in terms of isolation?	Sensitive services, like the cluster orchestration service and key management services, run exclusively on dedicated machines.
Q24_GroundTruth	Ground_Truth	What is Confidential Computing and how does it enhance security in Google Cloud?	Confidential Computing services in Google Cloud provide stronger cryptographic isolation for workloads and data in use. This is supported for Compute Engine VMs and GKE nodes.
Q25_GroundTruth	Ground_Truth	How does Google manage inter-service access?	Service owners can create lists of other services allowed to communicate with their service. This access management is enforced by the Google infrastructure, including audit logging, justifications, and access restrictions.
Q26_GroundTruth	Ground_Truth	How is access control implemented for Google engineers?	Google engineers receive individual identities and services can be configured to allow or deny their access based on these identities.
Q27_GroundTruth	Ground_Truth	How does Google manage identities for machines, services, and employees?	All identities are in a global namespace maintained by the infrastructure. A workflow system with approval chains, logging, and notifications is used to manage these identities.
Q28_GroundTruth	Ground_Truth	How does the infrastructure enforce secure access-management processes?	The infrastructure can enforce multi-party authorization, using the two-person rule to ensure sensitive operations require approval from two authorized engineers.
Q29_GroundTruth	Ground_Truth	How does Google ensure the security of communication between its services?	The infrastructure provides confidentiality and integrity for RPC data on the network. All Google Cloud virtual networking traffic is encrypted, with exemptions only for high-performance workloads not crossing data center security boundaries.
Q30_GroundTruth	Ground_Truth	How does Google manage access to end-user data in Google Workspace?	The infrastructure provides end-user permission tickets that prove a service is acting on behalf of a specific user. This allows services to only return data for the user specified in the ticket.
Q31_GroundTruth	Ground_Truth	How does Google's central user identity service work?	The identity service verifies user logins and issues user credentials, which are then presented for subsequent requests to the infrastructure. The service also issues short-lived end-user context tickets for RPCs related to the user's request.
Q32_GroundTruth	Ground_Truth	How is access management implemented for end-user data in Google Cloud?	Similar to Google Workspace, a central user identity service authenticates service accounts and issues end-user context tickets. Google Cloud uses IAM and context-aware products like Identity-Aware Proxy for access management.
Q33_GroundTruth	Ground_Truth	What steps are involved in the access management process in Google Cloud?	Requests are routed through Google Front End or Cloud Front End services, then checked for IAM permissions, access transparency, Cloud Audit Logs, quotas, billing, and VPC Service Controls security perimeters before reaching Google Cloud backend services.
Q34_GroundTruth	Ground_Truth	How does Google protect data at rest?	Google's infrastructure provides storage services and distributed file systems with various layers of encryption. Data is encrypted before writing to physical storage, using keys managed by Google. Hardware encryption is also used in storage devices.
Q35_GroundTruth	Ground_Truth	What is the process for cleaning decommissioned storage devices?	Decommissioned storage devices undergo a multi-step cleaning process with two independent verifications before physical disposal or destruction.
Q36_GroundTruth	Ground_Truth	How do Google Cloud and Google Workspace address key management for data at rest?	Both services provide key management services, where users can own and manage their own cryptographic keys. Google Cloud offers Cloud KMS, while Google Workspace supports client-side encryption.
Q37_GroundTruth	Ground_Truth	What is the process for deleting data in Google's infrastructure?	Deletion typically involves marking keys or data for deletion, allowing for recovery from unintentional deletions. When an end-user deletes their account, associated data is scheduled for deletion.
Q38_GroundTruth	Ground_Truth	How does Google secure communication between the internet and its services?	Google isolates its infrastructure from the internet using a private IP address space. Only a subset of machines is exposed to external internet traffic, allowing for additional protections like DoS attack defenses.
Q39_GroundTruth	Ground_Truth	What is the Google Front End service and how does it function?	The Google Front End (GFE) is an infrastructure service that handles TLS connections, provides DoS protection, and acts as a smart reverse-proxy frontend for services needing external access. It uses the RPC security protocol for internal communication.
Q40_GroundTruth	Ground_Truth	What are Cloud Front Ends and how do they relate to customer VMs in Google Cloud?	Cloud Front Ends are specific GFEs located in the same cloud region as customer VMs for minimizing latency. They allow customer VMs to communicate with Google APIs and services without needing external IP addresses.
Q41_GroundTruth	Ground_Truth	How does Google protect its infrastructure from DoS attacks?	Google has multi-tier, multi-layer DoS protection, including hardware and software load balancers that report to a central DoS service for attack detection and mitigation.
Q42_GroundTruth	Ground_Truth	How does Google's central identity service contribute to secure communication?	The service authenticates end users through the Google login page, verifying username, password, and other risk factors. It issues credentials for subsequent requests.
Q43_GroundTruth	Ground_Truth	What are some security measures for user authentication?	Users can utilize second factors like OTPs or phishing-resistant security keys like the Titan Security Key, which supports the FIDO U2F open standard.
Q44_GroundTruth	Ground_Truth	How does Google ensure safe software development?	Google uses libraries that prevent certain security bugs, automated tools like fuzzers and static analysis, and manual security reviews conducted by experts.
Q45_GroundTruth	Ground_Truth	What is Google's Vulnerability Rewards Program?	This program rewards individuals who discover and report bugs in Google's infrastructure or applications. It encourages security researchers to help improve Google's security.
Q46_GroundTruth	Ground_Truth	What is Project Zero and how does it contribute to security?	Project Zero is a team of Google researchers focused on researching zero-day vulnerabilities, including Spectre and Meltdown, and submitting fixes for open source software.
Q47_GroundTruth	Ground_Truth	How does Google protect its source code?	Source code is stored in repositories with built-in source integrity and governance, ensuring auditability. Binary Authorization for Borg (BAB) enforces the use of authorized and reviewed code for deployments.
Q48_GroundTruth	Ground_Truth	What are the key functions of Binary Authorization for Borg (BAB)?	BAB ensures reviewed and authorized code is used for deployments, particularly for code accessing user data, enforces minimum standards, and prevents malicious modifications to source code.
Q49_GroundTruth	Ground_Truth	How does Google protect its employees' devices and credentials?	Google mandates the use of U2F-compatible security keys for second-factor authentication, monitors employee devices for security patches and application installations, and uses zero-trust security for access control.
